,password,5-gram,6-gram,7-gram,Backoff,PCFG
0,PDILOT2Zk4!-oDi,23.855310239007505,18.672780959981075,18.929275675156934,88.42000603925284,69.19991149755057
1,VyX5D2wr4a22$cv,21.19720694226458,18.672780959981075,18.929275675156934,88.42000603925284,83.03342785087692
2,zmmWGt9HN@6u8fY,22.448824153020468,18.672780959981075,18.929275675156934,88.42000603925284,69.5932651331343
3,Xj_6DFM_LG4t3z5,20.926739898805586,17.519567124547116,17.603901391767927,88.42000603925284,83.03342785087692
4,uNBQt$r2UDpIM!2,22.448824153020468,18.788817075578287,19.080062738218757,88.42000603925284,63.16699817429382
5,zJpw@zSo9@76xTE,24.05460519512822,18.672780959981075,18.929275675156934,88.42000603925284,77.19650905462977
6,JB5E$zUveNHdAQ!,22.523408377994006,17.519567124547116,17.603901391767927,88.42000603925284,46.84680279738679
7,icGT664_FUjvR_V,25.222775408719027,18.672780959981075,18.929275675156934,88.42000603925284,68.96865281039545
8,gtMdz$3IrRWIua_,24.4367794276886,18.672780959981075,18.929275675156934,88.42000603925284,49.96562741836767
9,ML4AIFOzboP@ikv,20.515710554236072,18.672780959981075,18.929275675156934,88.42000603925284,52.81269553296349
10,lMySlbkc9ZW2GB_,23.673168366957622,18.672780959981075,18.929275675156934,85.15719511863652,54.07599957763512
11,H9hhVfHba$FozwK,21.737568794119383,18.788817075578287,19.080062738218757,88.42000603925284,50.81385824097254
12,xsAW$yIV3xB6Uti,23.03343072164429,18.672780959981075,18.929275675156934,88.42000603925284,80.29368618948864
13,whcE-R6_iGzNoJ8,21.621634738401116,18.672780959981075,18.929275675156934,88.42000603925284,64.48204664014501
14,ts9iY5X_zHqEPZe,22.93970796291913,18.672780959981075,18.929275675156934,88.42000603925284,61.38431038075172
15,uy_!OPgjukp!B9x,22.6070842352984,18.672780959981075,18.929275675156934,88.42000603925284,61.93531605784102
16,Hgk2fMe7-Bm@8OJ,23.3187604061136,18.983460332631815,17.603901391767927,88.42000603925284,84.17252572695635
17,HMNBR-2DrthxRCh,22.93970796291913,18.672780959981075,18.929275675156934,88.42000603925284,44.331106880314586
18,p$OB3ttGP7yIdah,21.737568794119383,18.672780959981075,18.929275675156934,88.42000603925284,70.84717175593566
19,VC9TQeNL5@JhyNN,24.626966287844176,18.788817075578287,19.080062738218757,88.42000603925284,64.33327227874203
20,DRG-tQHZsd3g8Ts,23.3187604061136,18.672780959981075,18.929275675156934,86.73938289040335,69.5932651331343
21,zM8dK5RkNz$Z8PW,20.515710554236072,18.672780959981075,18.929275675156934,88.42000603925284,80.29368618948864
22,j8TuDE-wvLADU7y,26.764156342408473,18.672780959981075,18.929275675156934,88.42000603925284,64.33327227874203
23,lyHXF$jb5-GW9YU,19.60723674108387,18.672780959981075,18.929275675156934,88.42000603925284,74.15322580477438
24,rTLdZ2xly-Zi@Pa,19.60723674108387,18.672780959981075,18.929275675156934,88.42000603925284,75.3684480229037
25,d--JaeiSjTa6zXY,21.19720694226458,18.788817075578287,19.080062738218757,88.42000603925284,54.88745157354397
26,PgisivL5fvp-hJa,20.515710554236072,18.672780959981075,18.929275675156934,88.42000603925284,61.93531605784102
27,QDG8ryFHgGgppt@,21.621634738401116,18.672780959981075,18.929275675156934,88.42000603925284,41.0649371216456
28,GT8@mVIOc$izlCW,21.19720694226458,18.672780959981075,18.929275675156934,88.42000603925284,64.48204664014501
29,sxnVOyB96LyOF-g,19.60723674108387,18.672780959981075,18.929275675156934,88.42000603925284,56.64158131045541
30,DSzQDo2smSh!jxD,20.75704108011137,17.519567124547116,17.603901391767927,86.73938289040335,65.1535644714117
31,ce!fvL8odPMg@$G,19.60723674108387,18.672780959981075,18.929275675156934,88.42000603925284,75.83212256743538
32,TUD@7BmY9Pw2WTX,21.737568794119383,18.672780959981075,18.929275675156934,88.42000603925284,85.11130991379436
33,o!7SjQtC5!An!5L,22.523408377994006,17.519567124547116,17.603901391767927,88.42000603925284,71.97006591796354
34,BMozh-ez3GrnkBE,21.19720694226458,18.672780959981075,18.929275675156934,88.42000603925284,57.46292862889963
35,cLGFy4JN@MnSXRZ,18.265247288172752,17.519567124547116,17.603901391767927,88.42000603925284,56.64158131045541
36,iDPSLFX@_9n58nC,21.19720694226458,18.8675914451886,18.929275675156934,88.42000603925284,60.951895838773794
37,zI2LLkT$Ns288wb,24.626966287844176,18.788817075578287,19.080062738218757,88.42000603925284,80.29368618948864
38,lxo9ll@CBctdM9G,21.19720694226458,18.672780959981075,18.929275675156934,88.42000603925284,68.8591571353816
39,bmAe!S!PpwO5-iX,23.673168366957622,18.672780959981075,18.929275675156934,86.73938289040335,77.38026712627273
40,IYJA4NadBGPx!BF,24.89429310136781,18.672780959981075,18.929275675156934,86.73938289040335,56.64158131045541
41,xmh9vnIW4TNl9-f,23.3187604061136,18.672780959981075,18.929275675156934,88.42000603925284,80.46980800229156
